밀원수종명,주소,경도,위도,화밀량
아까시나무,경상북도 칠곡군 칠곡대로 2903-51,128.4932697,35.9197553,113.275
아까시나무,충청북도 충주시 대소원1길 20,127.8167711,36.9770833,7.635
아까시나무,경상북도 칠곡군 구상길 233-1,128.3960395,35.98757055,96.481
아까시나무,경상북도 칠곡군 유학로 42,128.4139753,36.07769743,839.192
아까시나무,충청북도 충주시 사랑골길 58,127.9079564,37.05021309,72.938
아까시나무,경상북도 칠곡군 낙산로4길 38-10,128.5234645,35.931373,166.865
아까시나무,전라남도 장흥군 사촌큰길 51-8,127.0099948,34.62591968,24.358
아까시나무,충청북도 충주시 봉방16길 2,127.9207063,36.97553897,55.802
아까시나무,충청북도 충주시 귓골길 16-5,127.9973721,36.85291786,22.49
아까시나무,충청북도 충주시 영죽고개길 32,127.7569926,37.11015059,194.569
아까시나무,충청북도 충주시 명암길 39,128.062883,37.08292001,72.137
아까시나무,경상북도 칠곡군 금오대로3길 3,128.3477523,36.0708918,0.005
아까시나무,충청북도 충주시 가신1길 27-33,127.7227984,37.054998,31.576
아까시나무,충청북도 충주시 능말2길 17,127.7799314,36.95841548,24.969
아까시나무,충청북도 충주시 고든골길 123-12,127.9632173,36.94562519,24.609
아까시나무,충청북도 충주시 금곡만정길 404,127.8630608,36.96233219,73.325
아까시나무,충청북도 충주시 수월2길 134,127.6574778,36.99395345,40.688
아까시나무,충청북도 충주시 능안길 2-2,127.709783,37.04876987,64.093
아까시나무,경상북도 칠곡군 인평새마길 20,128.330403,36.05581922,121.748
아까시나무,경상북도 칠곡군 반계3길 88,128.4416211,36.02336967,77.468
아까시나무,충청북도 충주시 논동옥성길 461-22,127.9115691,37.12990702,81.138
아까시나무,경상북도 칠곡군 남원로 21-4,128.5493108,36.02280587,28.583
아까시나무,경상북도 칠곡군 남원로 3-8,128.5475746,36.02217389,266.356
아까시나무,전라남도 장흥군 동교3길 2-39,126.9062628,34.67952084,158.528
아까시나무,충청북도 충주시 갱고개로 121-4,127.9392573,36.98196909,75.024
